"SUBJECT","Subject","LOCATION","Country","FREQUENCY","Frequency","TIME","Time","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"PRCNTO01","Production of total construction sa, Index","AUS","Australia","Q","Quarterly","2020-Q1","Q1-2020","IDX","Index","0","Units","2015_100","2015=100",97.4196,,
"PRCNTO01","Production of total construction sa, Index","AUS","Australia","Q","Quarterly","2020-Q2","Q2-2020","IDX","Index","0","Units","2015_100","2015=100",89.56161,,
"PRCNTO01","Production of total construction sa, Index","AUS","Australia","Q","Quarterly","2020-Q3","Q3-2020","IDX","Index","0","Units","2015_100","2015=100",92.40276,,
"PRCNTO01","Production of total construction sa, Index","AUS","Australia","Q","Quarterly","2020-Q4","Q4-2020","IDX","Index","0","Units","2015_100","2015=100",92.86452,,
"PRCNTO01","Production of total construction sa, Index","AUS","Australia","Q","Quarterly","2021-Q1","Q1-2021","IDX","Index","0","Units","2015_100","2015=100",96.71067,,
"PRCNTO01","Production of total construction sa, Index","AUS","Australia","Q","Quarterly","2021-Q2","Q2-2021","IDX","Index","0","Units","2015_100","2015=100",98.37299,,
"PRCNTO01","Production of total construction sa, Index","AUS","Australia","Q","Quarterly","2021-Q3","Q3-2021","IDX","Index","0","Units","2015_100","2015=100",97.56084,,
"PRCNTO01","Production of total construction sa, Index","AUS","Australia","Q","Quarterly","2021-Q4","Q4-2021","IDX","Index","0","Units","2015_100","2015=100",100.2988,,
"PRCNTO01","Production of total construction sa, Index","AUS","Australia","Q","Quarterly","2022-Q1","Q1-2022","IDX","Index","0","Units","2015_100","2015=100",100.9941,,
"PRCNTO01","Production of total construction sa, Index","AUS","Australia","Q","Quarterly","2022-Q2","Q2-2022","IDX","Index","0","Units","2015_100","2015=100",100.5786,,
"PRINTO01","Production of total industry sa, Index","AUT","Austria","A","Annual","2019","2019","IDX","Index","0","Units","2015_100","2015=100",113.2094,,
"PRINTO01","Production of total industry sa, Index","AUT","Austria","A","Annual","2020","2020","IDX","Index","0","Units","2015_100","2015=100",106.9089,,
"PRINTO01","Production of total industry sa, Index","AUT","Austria","A","Annual","2021","2021","IDX","Index","0","Units","2015_100","2015=100",117.7015,,
"PRINTO01","Production of total industry sa, Index","AUT","Austria","Q","Quarterly","2019-Q1","Q1-2019","IDX","Index","0","Units","2015_100","2015=100",117.9432,,
"PRINTO01","Production of total industry sa, Index","AUT","Austria","Q","Quarterly","2019-Q2","Q2-2019","IDX","Index","0","Units","2015_100","2015=100",115.0096,,
"PRINTO01","Production of total industry sa, Index","AUT","Austria","Q","Quarterly","2019-Q3","Q3-2019","IDX","Index","0","Units","2015_100","2015=100",114.5095,,
"PRINTO01","Production of total industry sa, Index","AUT","Austria","Q","Quarterly","2019-Q4","Q4-2019","IDX","Index","0","Units","2015_100","2015=100",114.1428,,
"PRINTO01","Production of total industry sa, Index","AUT","Austria","Q","Quarterly","2020-Q1","Q1-2020","IDX","Index","0","Units","2015_100","2015=100",114.3095,,
"PRINTO01","Production of total industry sa, Index","AUT","Austria","Q","Quarterly","2020-Q2","Q2-2020","IDX","Index","0","Units","2015_100","2015=100",97.87482,,
"PRINTO01","Production of total industry sa, Index","AUT","Austria","Q","Quarterly","2020-Q3","Q3-2020","IDX","Index","0","Units","2015_100","2015=100",111.6426,,
"PRINTO01","Production of total industry sa, Index","AUT","Austria","Q","Quarterly","2020-Q4","Q4-2020","IDX","Index","0","Units","2015_100","2015=100",113.8762,,
"PRINTO01","Production of total industry sa, Index","AUT","Austria","Q","Quarterly","2021-Q1","Q1-2021","IDX","Index","0","Units","2015_100","2015=100",114.3095,,
"PRINTO01","Production of total industry sa, Index","AUT","Austria","Q","Quarterly","2021-Q2","Q2-2021","IDX","Index","0","Units","2015_100","2015=100",116.7097,,
"PRINTO01","Production of total industry sa, Index","AUT","Austria","Q","Quarterly","2021-Q3","Q3-2021","IDX","Index","0","Units","2015_100","2015=100",117.6098,,
"PRINTO01","Production of total industry sa, Index","AUT","Austria","Q","Quarterly","2021-Q4","Q4-2021","IDX","Index","0","Units","2015_100","2015=100",121.0434,,
"PRINTO01","Production of total industry sa, Index","AUT","Austria","Q","Quarterly","2022-Q1","Q1-2022","IDX","Index","0","Units","2015_100","2015=100",128.4774,,
"PRINTO01","Production of total industry sa, Index","AUT","Austria","Q","Quarterly","2022-Q2","Q2-2022","IDX","Index","0","Units","2015_100","2015=100",129.2108,,
"PRINTO01","Production of total industry sa, Index","AUT","Austria","M","Monthly","2019-01","Jan-2019","IDX","Index","0","Units","2015_100","2015=100",118.5099,,
